Speaker name,Category/topic tags,State,Notes
Rod Perez,"Health, Lifestyle & Wellbeing; Mental Health & Wellness; Team Building",QLD (Coolangatta),Gender: Male
Rodney Eade,Leadership; Motivational; Sport; Team Building,VIC (Melbourne),Gender: Male
Rodney Hogg,Sport; Storytelling,WA (Perth),Gender: Male
Roger Dennis,"Business; Creativity & Innovation; Technology, Future & Innovation",New Zealand (Christchurch),Gender: Male
Roger La Salle,"Business; Creativity & Innovation; Motivational; Social Trends & Current Affairs; Technology, Future & Innovation",VIC,Gender: Male
Roger Rasheed,Business; Resilience; Sport; Virtual,SA (Adelaide),Gender: Male
Roger Simpson,Business,VIC (Melbourne),Gender: Male
Rohan Browning,Inspirational; Motivational; Resilience; Sport,NSW (Sydney),Gender: Male
Ron Kaufman,Business,International (Asia; Singapore),Gender: Male
Ron Lee,Business; Leadership,NSW (Sydney),Gender: Male
Ronni Kahn AO,"Business; Creativity & Innovation; Health, Lifestyle & Wellbeing; Social Trends & Current Affairs",NSW (Sydney),Gender: Female
Rory Warnock,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; Resilience",NSW (Sydney),Gender: Male
Rosanna Mangiarelli,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,SA (Adelaide),Gender: Female
Rosemary Stanton,"Food & Wine; Health, Lifestyle & Wellbeing",NSW (Sydney),Gender: Female
Rosie Batty AO,Business; Inspirational; Leadership; Motivational,VIC (Melbourne),Gender: Female
Rosie Yeo,Business; Leadership; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Ross Bernstein,Leadership; Motivational; Sport; Team Building,International (USA),Gender: Male
Ross Dawson,"AI; Business; Creativity & Innovation; Economy & Finance; Leadership; Social Media & Networking; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Ross Greenwood,Celebrity; Economy & Finance; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Ross Wallman,Celebrity; Master of Ceremonies (MCs) & Hosts,WA (Perth),Gender: Male
Rove McManus,Celebrity; Master of Ceremonies (MCs) & Hosts; Virtual,WA (Perth),Gender: Male
Rowan,"Business; Creativity & Innovation; Health, Lifestyle & Wellbeing; Inspirational; Leadership",NSW,Gender: Female
Rowdy McLean,Business; Inspirational; Leadership; Virtual,NSW (Sydney),Gender: Male
Rt Hon Sir John Key,Business; Economy & Finance; Leadership; Politics & Law; World Affairs,New Zealand (Auckland),Gender: Male
Ruby Tui,Diversity & Inclusion; Mental Health & Wellness; Motivational; Resilience; Sport,New Zealand (Auckland),Gender: Female
Rupert McCall,Authors; Master of Ceremonies (MCs) & Hosts; Sport; Storytelling,QLD (Brisbane),Gender: Male
Ruslan Kogan,Advertising & Marketing; Business,VIC (Melbourne),Gender: Male
Russel Howcroft,Advertising & Marketing; Business; Celebrity; Creativity & Innovation; Leadership; Media; Social Trends & Current Affairs,VIC (Melbourne),Gender: Male
Russell Mark OAM,Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Storytelling,VIC (Melbourne),Gender: Male
Russell Ord and Shanan Worrall,"Education; Health, Lifestyle & Wellbeing; Inspirational; Media; Motivational; Sport",WA (Perth),Gender: Male
Russell Pearson,Business; Leadership; Team Building; Virtual,VIC,Gender: Male
Ryan Campbell,Adventurers; Leadership,International (Tennessee),Gender: Male
Ryk Goddard,Celebrity; Master of Ceremonies (MCs) & Hosts,TAS (Hobart),Gender: Male
Sadhana Smiles,Business; Diversity & Inclusion; Leadership; Virtual,VIC (Melbourne),Gender: Female
Sally Capp AO,Business; Economy & Finance; Leadership; Resilience,VIC (Melbourne),Gender: Female
Sally Learey,"Authors; Business; Health, Lifestyle & Wellbeing; Inspirational; Motivational",VIC (Melbourne),Gender: Female
Sally Pearson,Sport,QLD,Gender: Female
Sally Williams,Advertising & Marketing; Business; Master of Ceremonies (MCs) & Hosts; Sustainability,VIC (Melbourne),Gender: Female
Sam Beau Patrick,"Business; Health, Lifestyle & Wellbeing; People & Culture",QLD (Brisbane),Gender: Female
Sam Bloom,Celebrity; Diversity & Inclusion; Inspirational; Mental Health & Wellness; Motivational; Resilience; Sport,NSW (Sydney),Gender: Female
Sam Cawthorn,Inspirational; Intergenerational Influencers; Motivational; Social Trends & Current Affairs,TAS (Hobart),Gender: Male
Sam Dawson,Master of Ceremonies (MCs) & Hosts,WA (Perth),Gender: Male
Sam Ikin,Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness,TAS (Hobart),Gender: Male
Sam Kekovich,Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Storytelling,VIC (Melbourne),Gender: Male
Sam Lane,Authors; Celebrity; Media; Sport,VIC (Melbourne),Gender: Female
Sam McCool,Diversity & Inclusion; Inspirational,NSW,Gender: Male
Sam Powers,Virtual,NSW (Sydney),Gender: Male
Sam Taunton,Master of Ceremonies (MCs) & Hosts; Virtual,VIC (Melbourne),Gender: Male
Sam the Trap Man,Environment & Climate Change; Inspirational; Resilience; Storytelling; Sustainability,New Zealand (Auckland),Gender: Male
Sam Turner,Business; Diversity & Inclusion; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture,NSW (Sydney),Gender: Female
Sam Webb,"Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness",International (USA),Gender: Male
Samantha Armytage,Celebrity; Master of Ceremonies (MCs) & Hosts; Virtual,NSW (Sydney),Gender: Female
Samantha Gash,"Adventurers; Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; People & Culture; Resilience; Sport; Team Building; Virtual",VIC (Melbourne),Gender: Female
Samantha Jackson,"After Dinner Speakers; Business; Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts",WA (Perth),Gender: Female
Samantha Jewel,Creativity & Innovation; Environment & Climate Change; Motivational; Social Trends & Current Affairs; Sustainability; World Affairs,VIC (Melbourne),Gender: Female
Samantha Riley,Celebrity; Motivational; Sport,QLD (Brisbane),Gender: Female
Samantha Wills,Business; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts,International (USA),Gender: Female
Sami Lukis,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,NSW (Sydney),Gender: Female
Sami Mäkeläinen,"AI; Business; Creativity & Innovation; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Sami Shah,Advertising & Marketing; Creativity & Innovation; Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Sammy J,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Sammy J & Randy,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Samuel Hinton,"After Dinner Speakers; Business; Creativity & Innovation; Education; Health, Lifestyle & Wellbeing; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Samuel Johnson OAM,Celebrity; Inspirational; Mental Health & Wellness,VIC (Melbourne),Gender: Male
Samuel Johnson OAM and Aaron Williams,After Dinner Speakers; Inspirational; Leadership; Motivational; People & Culture,QLD; VIC (Brisbane; Melbourne; Sunshine Coast),Gender: Male
Samuel Shem,"After Dinner Speakers; Authors; Celebrity; Diversity & Inclusion; Education; Health, Lifestyle & Wellbeing; Inspirational; Motivational; People & Culture",International (USA),Gender: Male
Sandra Sully AM,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,NSW (Sydney),Gender: Female
Sans Tattoo,Business; Inspirational; Leadership,NSW (Sydney),Gender: Male
Santhanaram  Jayaram,"Business; Health, Lifestyle & Wellbeing; Leadership; Team Building",International (Singapore),Gender: Male
Sara Leonardi-McGrath,Business; Leadership; Media,NSW,Gender: Female
Sarah Davidson,"Business; Education; Health, Lifestyle & Wellbeing",VIC (Melbourne),Gender: Female
Sarah Di Lorenzo,"Health, Lifestyle & Wellbeing",NSW (Sydney),Gender: Female
Sarah Duffy,Advertising & Marketing; Master of Ceremonies (MCs) & Hosts; Media; Social Media & Networking; Sport,VIC (Melbourne),Gender: Female
Sarah Furness MA Cantab RAF,Business; Leadership; Military,International (UK),Gender: Female
Sarah Grynberg,"Education; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media",VIC (Melbourne),Gender: Female
Sarah Harris,Celebrity; Media,NSW (Sydney),Gender: Female
Sarah Kearns,"Health, Lifestyle & Wellbeing; Inspirational; Social Media & Networking",NSW (Sydney),Gender: Female
Sarah Kendall,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Sarah McKay,"Health, Lifestyle & Wellbeing; Intergenerational Influencers; Mental Health & Wellness; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Sarah Monahan,Celebrity; Leadership; Motivational; Resilience; Storytelling; Team Building,International (USA),Gender: Female
Sarah Moran,"Creativity & Innovation; Diversity & Inclusion; Sustainability; Technology, Future & Innovation",QLD (Brisbane),Gender: Female
Sarah Walsh,Diversity & Inclusion; Leadership; Motivational; Resilience; Sport; Team Building,NSW (Sydney),Gender: Female
Sarah Wilson,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Leadership; Media; Politics & Law",NSW (Sydney),Gender: Female
Saroo Brierley,Inspirational; Motivational; Resilience; Storytelling,TAS (Hobart),Gender: Male
Saul Eslake,"Business; Economy & Finance; Social Trends & Current Affairs; Technology, Future & Innovation",TAS (Hobart),Gender: Male
Scarlett Vespa,"Advertising & Marketing; Business; Creativity & Innovation; Health, Lifestyle & Wellbeing; Inspirational; Intergenerational Influencers; Leadership; Motivational; People & Culture; Social Trends & Current Affairs; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Scott Ainslie,"Business; Leadership; Master of Ceremonies (MCs) & Hosts; Social Trends & Current Affairs; Technology, Future & Innovation",QLD (Maroochydore),Gender: Male
Scott Amyx,"AI; Business; Creativity & Innovation; Technology, Future & Innovation",International (USA),Gender: Male
Scott Bales,"Business; Creativity & Innovation; Economy & Finance; Technology, Future & Innovation",International (Asia; Singapore),Gender: Male
Scott Bloom,Celebrity; Master of Ceremonies (MCs) & Hosts; Virtual,International (USA),Gender: Male
Scott Cam,"After Dinner Speakers; Celebrity; Health, Lifestyle & Wellbeing",NSW (Sydney),Gender: Male
Scott Cummings,"Health, Lifestyle & Wellbeing; Media; Sport",WA (Perth),Gender: Male
Scott Deming,Business; Leadership,International (USA),Gender: Male
Scott Dooley,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Scott Draper,Business; Leadership; Resilience; Team Building,QLD (Brisbane),Gender: Male
Scott Dutton,"Business; Health, Lifestyle & Wellbeing; Leadership; Team Building; Virtual",QLD (Gold Coast),Gender: Male
Scott McKain,Business; Leadership; Storytelling,International (USA),Gender: Male
Scott Rankin,"Creativity & Innovation; Diversity & Inclusion; Leadership; Technology, Future & Innovation; World Affairs",TAS (Wynyard),Gender: Male
Scott Tweedie,Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Social Trends & Current Affairs,NSW (Sydney),Gender: Male
Scott Williams,"Health, Lifestyle & Wellbeing",QLD (Brisbane),Gender: Male
Seamus Evans,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Resilience",QLD (Sunshine Coast),Gender: Male
Sean Bell,"Adventurers; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Resilience; Team Building",VIC (Melbourne),Gender: Male
Sean Callanan,Advertising & Marketing; Business; Celebrity; Leadership; Master of Ceremonies (MCs) & Hosts; Media; Sport,VIC (Melbourne),Gender: Male
Sean Choolburra,Indigenous Speakers; Virtual,QLD (Townsville),Gender: Male
Sean Soole,Diversity & Inclusion; Leadership; Politics & Law; Social Trends & Current Affairs,NSW (Maroochydore; Miranda; Sunshine Coast),Gender: Male
Sebastian Coe,Authors; Motivational; Sport,International (UK),Gender: Male
Sebastian Terry,Business; Inspirational; Leadership; Mental Health & Wellness; Motivational; People & Culture; Virtual,NSW (Sydney),Gender: Male
Seth Godin,Authors; Business; Leadership; Virtual,International (USA),Gender: Male
Shamane Tan,"AI; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Shamubeel Eaqub,Business; Economy & Finance,New Zealand (Auckland),Gender: Male
Shane Cortese,Master of Ceremonies (MCs) & Hosts,New Zealand (Auckland),Gender: Male
Shane Crawford,Celebrity; Master of Ceremonies (MCs) & Hosts; Sport,VIC (Melbourne),Gender: Male
Shane Jacobson,Celebrity; Master of Ceremonies (MCs) & Hosts; Virtual,VIC (Melbourne),Gender: Male
Shane Watson,Celebrity; Motivational; Sport,NSW (Sydney),Gender: Male
Shane Webcke,"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Team Building",QLD (Brisbane),Gender: Male
Shaneel Lal,Diversity & Inclusion; Leadership; People & Culture; Resilience,New Zealand,
Shannah Kennedy,"Business; Health, Lifestyle & Wellbeing; Leadership; Motivational; People & Culture",VIC,Gender: Female
Shannah Kennedy & Colleen Callander,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership",VIC (Sorrento),Gender: Female
Shannan Ponton,"Business; Celebrity; Education; Health, Lifestyle & Wellbeing; Motivational",NSW (Sydney),Gender: Male
Sharon Cohrs,"Adventurers; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Team Building",QLD,Gender: Female
Shaun Christie-David,Business; Diversity & Inclusion; Food & Wine; Inspirational; Intergenerational Influencers; Storytelling,NSW (Sydney),Gender: Male
Shayne Hunter,Master of Ceremonies (MCs) & Hosts,QLD (Brisbane),Gender: Male
Shayne Thompson,Business; Motivational; People & Culture,QLD (Sunshine Coast),Gender: Male
Shaynna Blaze,"Celebrity; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts",VIC (Melbourne),Gender: Female
Sheila E,,International (USA),Gender: Female
Sheila Vijeyarasa,Business; Leadership; Resilience,NSW (Sydney),Gender: Female
Shelley Craft,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Byron),Gender: Female
Shelley Ware,Master of Ceremonies (MCs) & Hosts; Media; Sport,VIC (Melbourne),Gender: Female
Shelly Horton,Celebrity; Master of Ceremonies (MCs) & Hosts,QLD (Gold Coast),Gender: Female
Sheree Mutton,"Celebrity; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Media",NSW (Sydney),Gender: Female
Shirley Taylor,"Business; Inspirational; Leadership; Motivational; Technology, Future & Innovation",International (Singapore),Gender: Female
Shivani Gupta,Business; Motivational,QLD (Brisbane),Gender: Female
Shura Taft,Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Sport,VIC (Melbourne),Gender: Male
Siimon Reynolds,Advertising & Marketing; Business; Celebrity; Leadership; Motivational,NSW (Sydney),Gender: Male
Simon Banks,Creativity & Innovation; Storytelling,NSW (Sydney),Gender: Male
Simon Griffiths,"Business; Creativity & Innovation; Health, Lifestyle & Wellbeing; Leadership; Resilience; Team Building; Virtual",VIC (Melbourne),Gender: Male
Simon Hammond,"Advertising & Marketing; Authors; Business; Creativity & Innovation; Intergenerational Influencers; Social Media & Networking; Social Trends & Current Affairs; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Simon Harris,Mental Health & Wellness; Resilience; Social Trends & Current Affairs,WA (Perth),Gender: Male
Simon Illingworth,Inspirational; Leadership; Politics & Law,VIC (Melbourne),Gender: Male
Simon Jones,Business; Leadership; Sport; Team Building,WA (Perth),Gender: Male
Simon Kuestenmacher,"Business; Intergenerational Influencers; Social Trends & Current Affairs; Technology, Future & Innovation; Virtual",VIC (Melbourne),Gender: Male
Simon Love,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,VIC (Melbourne),Gender: Male
Simon Madden,Sport,VIC,Gender: Male
Simon O'Donnell,Authors; Celebrity; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Storytelling,VIC (Melbourne),Gender: Male
Simon Taylor,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Simon Tupman,Authors; Business; Leadership; Sport; Team Building,New Zealand (North Island),Gender: Male
Simone Austin,"Business; Education; Health, Lifestyle & Wellbeing; Leadership; People & Culture; Virtual",VIC (Melbourne),Gender: Female
Simone Heng,Business; Leadership; People & Culture,International (Singapore),Gender: Female
Simran Kaur,Business; Diversity & Inclusion; Economy & Finance; Motivational; People & Culture,New Zealand (Auckland),Gender: Female
Sione Faumuina,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; People & Culture",New Zealand (Rotorua),Gender: Male
Sir Angus Houston AK AFC,Inspirational; Leadership; Motivational,ACT (Canberra),Gender: Male
Sir Bob Geldof,Business; Celebrity; Environment & Climate Change; Politics & Law; Social Trends & Current Affairs; World Affairs,International (UK),Gender: Male
Sir Graham Henry KNZM,Sport,New Zealand (Auckland),Gender: Male
Sir John Kirwan,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; People & Culture; Sport",New Zealand (Auckland),Gender: Male
Sir Ranulph Fiennes OBE,Adventurers; Authors; Inspirational; Motivational,International (UK),Gender: Male
Sir Ray Avery,"Creativity & Innovation; Inspirational; Sustainability; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Sir Steven Redgrave CBE,Sport,International (UK),Gender: Male
sisterMISTER,,QLD,Gender: Female
Songbirds,Celebrity,VIC (Melbourne),Gender: Female
Sonia Di Mezza,Business; Diversity & Inclusion; Inspirational; Leadership; Politics & Law,ACT (Canberra),Gender: Female
Sonia Kruger,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Sonia McDonald,Business; Inspirational; Leadership; Team Building,QLD (Brisbane),Gender: Female
Sonny Lister,Celebrity; Sport,WA (Perth),Gender: Male
Sophie Falkiner,"After Dinner Speakers; Celebrity; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts",NSW (Sydney),Gender: Female
Sophie Morell,"Health, Lifestyle & Wellbeing; Inspirational; Sport",VIC,Gender: Female
Sophie Thomson,"Business; Environment & Climate Change; Health, Lifestyle & Wellbeing; Media; Sustainability",SA (Adelaide),Gender: Female
Sparrow-Folk,,ACT,Gender: Female
Stacey Currie,Inspirational; Motivational; People & Culture; Team Building,VIC (Melbourne),Gender: Female
Stacey Edmonds,"AI; Business; Leadership; Master of Ceremonies (MCs) & Hosts; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Stan Gordon,Business,VIC,Gender: Male
Stan Grant,Diversity & Inclusion; Indigenous Speakers; Master of Ceremonies (MCs) & Hosts; Media; Politics & Law; Virtual,NSW (Sydney),Gender: Male
Steph Prem,"Health, Lifestyle & Wellbeing; Sport",VIC (Melbourne),Gender: Female
Steph Tisdell,Indigenous Speakers; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness,QLD (Gold Coast),Gender: Female
Stephanie Alexander OAM,Food & Wine,VIC,Gender: Female
Stephanie Bendixsen,"Creativity & Innovation; Diversity & Inclusion; Intergenerational Influencers; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Stephanie Brantz,Master of Ceremonies (MCs) & Hosts; Sport; Virtual,NSW,Gender: Female
Stephanie Gobbo,"Business; Education; Food & Wine; Health, Lifestyle & Wellbeing; Motivational; Virtual",VIC (Melbourne),Gender: Female
Stephanie Woollard OAM,Business; Diversity & Inclusion; Education; Inspirational; Leadership; Motivational; Social Trends & Current Affairs; Sustainability,VIC (Melbourne),Gender: Female
Stephen Brady AO CVO,Business; Diversity & Inclusion; Economy & Finance; Leadership; Politics & Law; World Affairs,NSW,Gender: Male
Stephen Curry,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Male
Stephen Koukoulas,"Business; Politics & Law; Technology, Future & Innovation",VIC (Melbourne),Gender: Male
Stephen Krempl,Business; Diversity & Inclusion; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational,International (USA),Gender: Male
Stephen Long,Business; Economy & Finance; Media,NSW,Gender: Male
Stephen Mayne,Business; Economy & Finance; Media; Politics & Law; Social Media & Networking; Social Trends & Current Affairs,VIC (Melbourne),Gender: Male
Stephen McGown,"Adventurers; Creativity & Innovation; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational; Resilience; Storytelling",International (South Africa),Gender: Male
Stephen Scheeler,"AI; Business; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Stephen Scott Johnson,Business; Creativity & Innovation; Diversity & Inclusion; Leadership; Mental Health & Wellness,VIC,Gender: Male
Stephen Tjoa,Business; Leadership,International (Asia; Singapore),Gender: Male
Stephen Yarwood,"Business; Creativity & Innovation; Environment & Climate Change; Master of Ceremonies (MCs) & Hosts; Social Trends & Current Affairs; Technology, Future & Innovation",SA (Adelaide),Gender: Male
Sterling Hawkins,"Business; Creativity & Innovation; Social Trends & Current Affairs; Technology, Future & Innovation; Virtual",International (USA),Gender: Male
Stevan Premutico,"Business; Creativity & Innovation; Leadership; Social Media & Networking; Technology, Future & Innovation",NSW (Byron Bay),Gender: Male
Steve Bell,Adventurers; Business; Inspirational; Leadership; Motivational,SA (Adelaide),Gender: Male
Steve Cain,Indigenous Speakers; Inspirational; Mental Health & Wellness; Motivational; Resilience,SA (Adelaide),Gender: Male
Steve Francis,Business; Leadership; Team Building,QLD,Gender: Male
Steve Gurney,Adventurers; Celebrity; Motivational; Sport; Storytelling; Team Building,New Zealand (Christchurch),Gender: Male
Steve Lange,Business; Creativity & Innovation; Inspirational; Motivational; People & Culture; Team Building,New Zealand (North Island),Gender: Male
Steve Larkham,Motivational; Sport,NSW (Sydney),Gender: Male
Steve Moneghetti AM,After Dinner Speakers; Inspirational; Motivational; Sport,VIC (Geelong),Gender: Male
Steve Posselt,Adventurers; Business; Environment & Climate Change; Motivational; Social Trends & Current Affairs; Sustainability,NSW (Sydney),Gender: Male
Steve Price,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,NSW; VIC (Melbourne; Sydney),Gender: Male
Steve Sammartino,"Advertising & Marketing; AI; Business; Creativity & Innovation; Social Trends & Current Affairs; Technology, Future & Innovation; Virtual",VIC (Melbourne),Gender: Male
Steve Sargent,Business; Inspirational; Leadership; Motivational,NSW,Gender: Male
Steve Simpson,Business; Leadership; Team Building,VIC (Melbourne),Gender: Male
Steve Tighe,"Business; Creativity & Innovation; Environment & Climate Change; Intergenerational Influencers; Social Trends & Current Affairs; Technology, Future & Innovation",NSW,Gender: Male
Steve Willis,"Adventurers; Authors; Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Media; Motivational",NSW (Sydney),Gender: Male
Steve Wood,"Celebrity; Education; Health, Lifestyle & Wellbeing; Sustainability",WA (Perth),Gender: Male
Steve Wozniak,"Creativity & Innovation; Technology, Future & Innovation",International (USA),Gender: Male
Steven Bowman,Business,VIC (Melbourne),Gender: Male
Steven Bradbury OAM,"After Dinner Speakers; Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Resilience; Sport; Storytelling; Team Building",QLD (Brisbane),Gender: Male
Steven Burgess,"Business; Creativity & Innovation; Politics & Law; Social Trends & Current Affairs; Technology, Future & Innovation",TAS (Hobart),Gender: Male
Stiff Gins,Indigenous Speakers,NSW,Gender: Female
Stirling Mortlock AM,Leadership; Resilience; Sport; Team Building,NSW (Sydney),Gender: Male
Storm Purvis,Inspirational; Mental Health & Wellness; Motivational; Resilience; Sport,New Zealand (Auckland),Gender: Female
String Angels,,NSW,Gender: Female
String Diva,,NSW,Gender: Female
Stuart Donaldson,Business; Economy & Finance,NSW,Gender: Male
Stuart Gregor,Advertising & Marketing; After Dinner Speakers; Business; Food & Wine; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Su-Yen Wong,Business; Diversity & Inclusion; Leadership,International (Singapore),Gender: Female
Sue Chrysanthou SC,Media; Politics & Law; Social Media & Networking,NSW (Sydney),Gender: Female
Sue Currie,Business; Media,QLD,Gender: Female
Sue Stanley,"Authors; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Motivational; Sport",VIC (Melbourne),Gender: Female
Sunita Gloster,Advertising & Marketing; Business; Master of Ceremonies (MCs) & Hosts; Media; Sustainability,NSW (Sydney),Gender: Female
Sunny Grosso,"Business; Health, Lifestyle & Wellbeing; People & Culture; Team Building",International (USA),Gender: Female
Susan Alberti AC,Business; Diversity & Inclusion; Inspirational; Leadership; Motivational; Resilience; Sport,VIC (Melbourne),Gender: Female
Susan Mackie,Business; Creativity & Innovation; Leadership,VIC,Gender: Female
Susan McLean,"Authors; Business; Education; Health, Lifestyle & Wellbeing; Politics & Law; Social Trends & Current Affairs",VIC (Melbourne),Gender: Female
Susanne Peet,Environment & Climate Change; Master of Ceremonies (MCs) & Hosts; Resilience; Sustainability,WA (Perth),Gender: Female
Susie Maroney OAM,Inspirational; Sport,NSW (Sydney),Gender: Female
Susie O'Neill OAM,Sport,QLD (Brisbane),Gender: Female
Susie Youssef,Master of Ceremonies (MCs) & Hosts; Virtual,NSW (Sydney),Gender: Female
Suzanne Waldron,Inspirational; Leadership; Motivational; Resilience,NSW (Sydney),Gender: Female
Syd Heylen,After Dinner Speakers; Master of Ceremonies (MCs) & Hosts,QLD (Brisbane),Gender: Male
Sylvia Jeffreys,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Takaya Honda,"Celebrity; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness; Sport",VIC (Melbourne),Gender: Male
Tammy Barton,Business; Economy & Finance; Intergenerational Influencers; Leadership,SA (Adelaide),Gender: Female
Tammy van Wisse,Business; Environment & Climate Change; Inspirational; Motivational; Resilience; Sport,VIC (Melbourne),Gender: Female
Tamsin Simounds,"Business; Health, Lifestyle & Wellbeing; Leadership; People & Culture",SA (Adelaide),Gender: Female
Tamsyn Lewis-Manou,Motivational; Resilience; Sport,VIC (Melbourne),Gender: Female
Tan Le,"Business; Creativity & Innovation; Inspirational; Leadership; Technology, Future & Innovation",International (USA),Gender: Female
Tania Kernaghan,,QLD,Gender: Female
Tania Zaetta,"Business; Celebrity; Health, Lifestyle & Wellbeing",VIC,Gender: Female
Tanya Kunze,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership",NSW (Sydney),Gender: Female
Tanya Perry,Business; Leadership; Team Building,SA (Adelaide),Gender: Female
Tanya Williams,Advertising & Marketing; Business; Social Media & Networking,QLD (Brisbane),Gender: Female
Tara Diversi,"Health, Lifestyle & Wellbeing; Intergenerational Influencers; Master of Ceremonies (MCs) & Hosts; People & Culture; Virtual",QLD (Brisbane),Gender: Female
Tara Howell,Advertising & Marketing; Business; Inspirational; Sustainability,TAS (Launceston),Gender: Female
Tara Rae Moss,Business; Celebrity; Diversity & Inclusion; Leadership; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness; Virtual,NSW (Sydney),Gender: Female
Taryn Brumfitt,"Business; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Leadership; People & Culture; Social Trends & Current Affairs",SA (Adelaide),Gender: Female
Tasneem Chopra OAM,Business; Diversity & Inclusion; Education; Inspirational; Leadership; People & Culture; Social Trends & Current Affairs,VIC (Melbourne),Gender: Female
Tawera Nikau,Celebrity; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Team Building,New Zealand (North Island),Gender: Male
Tawnya Bahr,"Business; Food & Wine; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Resilience; Sustainability",NSW (Sydney),Gender: Female
Tegan Higginbotham,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
